sequence_no,log_id,timestamp,source,service,event_type,severity,risk_label,risk_score,method,endpoint,status_code,response_time_ms,user_id,source_ip,session_id,user_agent,host,environment,trace_id,mitre_tactic,mitre_technique_id,mitre_technique,recommendation,message
19,LOG-FB606079CFA7,2026-07-02T09:12:21+05:30,web,auth-service,request,info,safe,21,GET,/profile,200,788,api_bot,192.168.1.11,sess-c49a3f28,Firefox/124 Windows,db-01,production,trace-bf0ec8c6dff546d9,,,,No immediate action required. Continue normal monitoring.,"GET /profile 200 in 788ms (next.js: 20ms, application-code: 761ms)"
20,LOG-EABAEBBD1975,2026-07-02T09:13:00+05:30,web,nextjs-app,request,info,safe,12,GET,/billing,304,305,support,172.16.0.21,sess-699a4580,BotProbe/1.0,app-01,staging,trace-7e66c56a2c4d4c74,,,,No immediate action required. Continue normal monitoring.,"GET /billing 304 in 305ms (next.js: 11ms, application-code: 302ms)"
21,LOG-A6F5699C5F98,2026-07-02T09:13:27+05:30,web,auth-service,request,info,safe,8,GET,/login,200,412,support,192.168.1.10,sess-dbb0a876,Python-requests/2.32,api-01,development,trace-3974a21f21864821,,,,No immediate action required. Continue normal monitoring.,"GET /login 200 in 412ms (next.js: 47ms, application-code: 327ms)"
22,LOG-92A4B58D7898,2026-07-02T09:13:55+05:30,web,nextjs-app,request,info,safe,19,GET,/reports,301,835,api_bot,10.0.0.5,sess-e5da2ce2,Python-requests/2.32,worker-01,staging,trace-60dfe0c826a142cf,,,,No immediate action required. Continue normal monitoring.,"GET /reports 301 in 835ms (next.js: 39ms, application-code: 724ms)"
23,LOG-40D8CC4AD93B,2026-07-02T09:15:04+05:30,api,api-gateway,request,info,safe,25,GET,/api/grad2it-aws/get-recordings-url,301,880,analyst,192.168.2.15,sess-069f6bd0,Edge/126 Windows,app-02,staging,trace-4130ea4fdaf54565,,,,No immediate action required. Continue normal monitoring.,"GET /api/grad2it-aws/get-recordings-url 301 in 880ms (next.js: 72ms, application-code: 835ms)"
24,LOG-50D7C3490141,2026-07-02T09:15:45+05:30,api,api-gateway,request,info,safe,15,DELETE,/api/grad2it-aws/get-recordings-url,200,759,analyst,10.0.0.8,sess-ce5c12c3,BotProbe/1.0,web-01,staging,trace-39b60a725b9b4f15,,,,No immediate action required. Continue normal monitoring.,"DELETE /api/grad2it-aws/get-recordings-url 200 in 759ms (next.js: 67ms, application-code: 668ms)"
25,LOG-E9ED914A771E,2026-07-02T09:16:01+05:30,api,nextjs-app,request,info,safe,19,PUT,/api/get-token,200,894,john,10.0.0.5,sess-a26ab525,Safari/17 macOS,app-01,production,trace-b771e4cabe2543f6,,,,No immediate action required. Continue normal monitoring.,"PUT /api/get-token 200 in 894ms (next.js: 30ms, application-code: 777ms)"
26,LOG-01419EF66A03,2026-07-02T09:16:44+05:30,api,nextjs-app,request,info,safe,8,POST,/api/get-token,201,827,trainer,192.168.1.12,sess-52730aac,Python-requests/2.32,api-01,production,trace-62af6722a1ed4c03,,,,No immediate action required. Continue normal monitoring.,"POST /api/get-token 201 in 827ms (next.js: 27ms, application-code: 720ms)"
27,LOG-8C5D52C524A2,2026-07-02T09:17:02+05:30,api,api-gateway,request,info,safe,7,POST,/api/credits-based/get_usd_cost,200,221,admin,10.0.0.5,sess-57954a55,curl/8.1,web-01,development,trace-04b4f53056fa4739,,,,No immediate action required. Continue normal monitoring.,"POST /api/credits-based/get_usd_cost 200 in 221ms (next.js: 12ms, application-code: 146ms)"
28,LOG-A15B6BEDB142,2026-07-02T09:17:10+05:30,api,api-gateway,request,info,safe,22,POST,/api/community-members-showcase/verify-hr,304,426,john,172.16.0.21,sess-579bf8b7,Chrome/126 Windows,web-01,development,trace-94fb348a3a7244be,,,,No immediate action required. Continue normal monitoring.,"POST /api/community-members-showcase/verify-hr 304 in 426ms (next.js: 106ms, application-code: 322ms)"
29,LOG-F8334722918D,2026-07-02T09:17:34+05:30,web,nextjs-app,request,info,safe,5,GET,/reports,200,219,guest,192.168.1.11,sess-b6cbbae8,Firefox/124 Windows,worker-01,production,trace-9b1d976b5cec4bb8,,,,No immediate action required. Continue normal monitoring.,"GET /reports 200 in 219ms (next.js: 5ms, application-code: 164ms)"
30,LOG-2BCC650C917A,2026-07-02T09:18:48+05:30,api,api-gateway,request,info,safe,7,PATCH,/api/lab-proxy,200,795,devops,192.168.2.15,sess-23e5aa76,Safari/17 macOS,worker-01,staging,trace-78282d3126434648,,,,No immediate action required. Continue normal monitoring.,"PATCH /api/lab-proxy 200 in 795ms (next.js: 85ms, application-code: 778ms)"
31,LOG-21DD74DEC561,2026-07-02T09:19:43+05:30,api,auth-service,request,info,safe,14,PATCH,/api/verify-admin-access,200,50,hr_user,172.16.0.21,sess-43e4499b,Firefox/124 Windows,worker-01,production,trace-6cc0ed8ac865476c,,,,No immediate action required. Continue normal monitoring.,"PATCH /api/verify-admin-access 200 in 50ms (next.js: 83ms, application-code: 1ms)"
32,LOG-9917AC29C4DD,2026-07-02T09:20:54+05:30,api,api-gateway,request,info,safe,3,GET,/api/payment,200,345,analyst,10.0.0.8,sess-f5ffaf34,Edge/126 Windows,web-01,development,trace-a7b465f68b244cbc,,,,No immediate action required. Continue normal monitoring.,"GET /api/payment 200 in 345ms (next.js: 65ms, application-code: 308ms)"
33,LOG-958CF313158D,2026-07-02T09:22:07+05:30,api,auth-service,request,info,safe,15,DELETE,/api/grad2it-aws/get-recordings-url,301,447,api_bot,192.168.1.10,sess-e63312d7,PostmanRuntime/7.37,app-02,production,trace-d7951d9588154518,,,,No immediate action required. Continue normal monitoring.,"DELETE /api/grad2it-aws/get-recordings-url 301 in 447ms (next.js: 36ms, application-code: 381ms)"
34,LOG-9EEF0DE78A9D,2026-07-02T09:22:11+05:30,api,api-gateway,request,info,safe,20,POST,/api/grad2it-aws/get-recordings-url,200,439,analyst,172.16.0.21,sess-5e37f94d,Safari/17 macOS,gateway-01,development,trace-73ab1914447742ad,,,,No immediate action required. Continue normal monitoring.,"POST /api/grad2it-aws/get-recordings-url 200 in 439ms (next.js: 28ms, application-code: 339ms)"
35,LOG-D3E0CDE2D9B5,2026-07-02T09:22:36+05:30,web,auth-service,request,info,safe,1,GET,/profile,200,731,student01,172.16.0.33,sess-bd6dcca3,Chrome/126 Windows,api-01,development,trace-2671dbf590324644,,,,No immediate action required. Continue normal monitoring.,"GET /profile 200 in 731ms (next.js: 107ms, application-code: 613ms)"
36,LOG-9E24EDBEAEFB,2026-07-02T09:23:09+05:30,api,api-gateway,request,info,safe,22,PUT,/api/payment,301,301,support,172.16.0.21,sess-f3943dd6,Safari/17 macOS,db-01,staging,trace-c4d10650eaac42af,,,,No immediate action required. Continue normal monitoring.,"PUT /api/payment 301 in 301ms (next.js: 56ms, application-code: 216ms)"
37,LOG-CB1F60FDEB22,2026-07-02T09:24:00+05:30,web,nextjs-app,request,info,safe,19,GET,/learning-paths,200,76,manager,192.168.2.15,sess-cb5409c3,curl/8.1,worker-01,development,trace-ff190cf639964fd3,,,,No immediate action required. Continue normal monitoring.,"GET /learning-paths 200 in 76ms (next.js: 87ms, application-code: 1ms)"
38,LOG-F2F9E6829D16,2026-07-02T09:24:33+05:30,api,api-gateway,request,info,safe,21,PATCH,/api/auth,204,821,hr_user,172.16.0.21,sess-403bd419,Edge/126 Windows,gateway-01,development,trace-c22ad697baed4a73,,,,No immediate action required. Continue normal monitoring.,"PATCH /api/auth 204 in 821ms (next.js: 7ms, application-code: 805ms)"
39,LOG-43EAB57FAE34,2026-07-02T09:24:56+05:30,web,auth-service,request,info,safe,16,GET,/settings,200,116,finance_user,192.168.1.10,sess-96794b34,PostmanRuntime/7.37,app-01,production,trace-bf4d04a7bec1448b,,,,No immediate action required. Continue normal monitoring.,"GET /settings 200 in 116ms (next.js: 106ms, application-code: 35ms)"
40,LOG-85DFD4DCD4FA,2026-07-02T09:26:16+05:30,api,api-gateway,request,info,safe,2,PATCH,/api/upload,304,206,student01,192.168.1.11,sess-80be01de,Python-requests/2.32,gateway-01,production,trace-07c2f1c22e7b4511,,,,No immediate action required. Continue normal monitoring.,"PATCH /api/upload 304 in 206ms (next.js: 90ms, application-code: 144ms)"
41,LOG-F564A3F46C78,2026-07-02T09:26:33+05:30,web,auth-service,request,info,safe,8,GET,/reports,200,779,api_bot,10.0.0.5,sess-294cbad4,Safari/17 macOS,app-01,development,trace-1e572ae8671240d3,,,,No immediate action required. Continue normal monitoring.,"GET /reports 200 in 779ms (next.js: 51ms, application-code: 734ms)"
42,LOG-D4683620CB96,2026-07-02T09:27:11+05:30,web,nextjs-app,request,info,safe,14,GET,/reports,304,427,guest,172.16.0.33,sess-869ec460,MobileChrome/126 Android,web-01,development,trace-a114416ce22d48b8,,,,No immediate action required. Continue normal monitoring.,"GET /reports 304 in 427ms (next.js: 7ms, application-code: 420ms)"
43,LOG-63D223B09B72,2026-07-02T09:28:16+05:30,api,auth-service,request,info,safe,24,DELETE,/api/grad2it-aws/community-members,200,311,guest,172.16.0.21,sess-0c15fd90,Python-requests/2.32,worker-01,development,trace-a5b22b5d9ac74be2,,,,No immediate action required. Continue normal monitoring.,"DELETE /api/grad2it-aws/community-members 200 in 311ms (next.js: 117ms, application-code: 194ms)"
44,LOG-3484800C1E63,2026-07-02T09:29:23+05:30,web,api-gateway,request,info,safe,24,GET,/admin,200,170,student01,192.168.1.10,sess-b388668a,BotProbe/1.0,api-01,staging,trace-5ba5d89dc4a944ab,,,,No immediate action required. Continue normal monitoring.,"GET /admin 200 in 170ms (next.js: 46ms, application-code: 125ms)"
45,LOG-D85C3C23083B,2026-07-02T09:30:37+05:30,web,nextjs-app,request,info,safe,16,GET,/admin,201,333,student02,172.16.0.21,sess-bd7c38be,MobileChrome/126 Android,app-02,production,trace-2883c36242e14309,,,,No immediate action required. Continue normal monitoring.,"GET /admin 201 in 333ms (next.js: 120ms, application-code: 303ms)"
46,LOG-B1871FB2E0F1,2026-07-02T09:31:10+05:30,web,nextjs-app,request,info,safe,9,GET,/settings,200,119,student02,192.168.1.11,sess-59184813,MobileChrome/126 Android,web-01,staging,trace-7681d9fdcbae4c5a,,,,No immediate action required. Continue normal monitoring.,"GET /settings 200 in 119ms (next.js: 51ms, application-code: 72ms)"
47,LOG-7F0750083345,2026-07-02T09:32:08+05:30,web,api-gateway,request,info,safe,13,GET,/reports,200,512,admin,10.0.0.8,sess-49e7baba,Chrome/126 Windows,web-01,production,trace-7277b8b0bff14416,,,,No immediate action required. Continue normal monitoring.,"GET /reports 200 in 512ms (next.js: 42ms, application-code: 440ms)"
48,LOG-DF892AF9AE39,2026-07-02T09:32:39+05:30,api,api-gateway,request,info,safe,9,POST,/api/community-members-showcase/verify-hr,200,541,hr_user,192.168.1.12,sess-6490e979,Firefox/124 Windows,api-01,production,trace-4cc2d7680a584e21,,,,No immediate action required. Continue normal monitoring.,"POST /api/community-members-showcase/verify-hr 200 in 541ms (next.js: 92ms, application-code: 511ms)"
49,LOG-BF05D147EBFE,2026-07-02T09:32:43+05:30,web,auth-service,request,info,safe,5,GET,/profile,200,940,analyst,192.168.2.15,sess-d0795a8c,Chrome/126 Windows,worker-01,development,trace-98a8f0b6a1024005,,,,No immediate action required. Continue normal monitoring.,"GET /profile 200 in 940ms (next.js: 106ms, application-code: 926ms)"
50,LOG-C038C5F84AFB,2026-07-02T09:32:55+05:30,web,api-gateway,request,info,safe,21,GET,/reports,301,313,admin,192.168.1.10,sess-d8ebabb0,Safari/17 macOS,db-01,production,trace-aa256b96910144e1,,,,No immediate action required. Continue normal monitoring.,"GET /reports 301 in 313ms (next.js: 88ms, application-code: 290ms)"
51,LOG-7B0BB375D94D,2026-07-02T09:33:52+05:30,api,auth-service,request,info,safe,17,DELETE,/api/payment,201,688,john,192.168.1.10,sess-4d06bc1d,Firefox/124 Windows,api-01,development,trace-69a741567c464aa1,,,,No immediate action required. Continue normal monitoring.,"DELETE /api/payment 201 in 688ms (next.js: 67ms, application-code: 642ms)"
52,LOG-FED838FEF02D,2026-07-02T09:35:09+05:30,api,nextjs-app,request,info,safe,1,GET,/api/get-token,200,717,api_bot,172.16.0.33,sess-2d9f7b28,Safari/17 macOS,worker-01,production,trace-c822fd9046f24999,,,,No immediate action required. Continue normal monitoring.,"GET /api/get-token 200 in 717ms (next.js: 30ms, application-code: 680ms)"
53,LOG-7CA5A95BF6CD,2026-07-02T09:35:58+05:30,web,api-gateway,request,info,safe,14,GET,/login,204,810,finance_user,192.168.1.11,sess-a36d68fe,BotProbe/1.0,api-01,production,trace-15ab3e40b7b1431f,,,,No immediate action required. Continue normal monitoring.,"GET /login 204 in 810ms (next.js: 76ms, application-code: 742ms)"
54,LOG-2DAC077A3C75,2026-07-02T09:37:02+05:30,api,nextjs-app,request,info,safe,2,PATCH,/api/verify-admin-access,200,41,trainer,192.168.1.10,sess-d011a05a,Edge/126 Windows,web-01,production,trace-dbbf1ce36f3746cd,,,,No immediate action required. Continue normal monitoring.,"PATCH /api/verify-admin-access 200 in 41ms (next.js: 89ms, application-code: 34ms)"
55,LOG-A62B25B8F38B,2026-07-02T09:38:00+05:30,api,api-gateway,request,info,safe,4,PUT,/api/credits-based/user_wallet,204,675,manager,192.168.1.12,sess-c6c4ff57,PostmanRuntime/7.37,db-01,development,trace-62e41c043ff344e4,,,,No immediate action required. Continue normal monitoring.,"PUT /api/credits-based/user_wallet 204 in 675ms (next.js: 42ms, application-code: 607ms)"
56,LOG-D48863F2FF8A,2026-07-02T09:39:10+05:30,web,api-gateway,request,info,safe,25,GET,/courses,200,534,hr_user,192.168.1.11,sess-cfe8bf3e,Firefox/124 Windows,gateway-01,staging,trace-f462bb3d18d14cf3,,,,No immediate action required. Continue normal monitoring.,"GET /courses 200 in 534ms (next.js: 46ms, application-code: 487ms)"
57,LOG-D2B5E652DD4C,2026-07-02T09:40:21+05:30,web,api-gateway,request,info,safe,1,GET,/reports,200,879,student02,192.168.1.11,sess-fc45ac06,PostmanRuntime/7.37,api-01,development,trace-7b68e8dc99db4579,,,,No immediate action required. Continue normal monitoring.,"GET /reports 200 in 879ms (next.js: 16ms, application-code: 791ms)"
58,LOG-93F3D2C27C1C,2026-07-02T09:41:22+05:30,api,nextjs-app,request,info,safe,5,POST,/api/payment,200,919,support,10.0.0.5,sess-25706321,Edge/126 Windows,db-01,development,trace-591ab749deb44949,,,,No immediate action required. Continue normal monitoring.,"POST /api/payment 200 in 919ms (next.js: 81ms, application-code: 819ms)"
59,LOG-73F6C5CB8881,2026-07-02T09:42:06+05:30,web,auth-service,request,info,safe,13,GET,/settings,200,208,admin,192.168.2.15,sess-6ef105f0,Chrome/126 Windows,gateway-01,staging,trace-945ae173057242c6,,,,No immediate action required. Continue normal monitoring.,"GET /settings 200 in 208ms (next.js: 70ms, application-code: 143ms)"
60,LOG-4306CF880CD7,2026-07-02T09:42:51+05:30,web,auth-service,request,info,safe,8,GET,/learning-paths,200,107,finance_user,192.168.2.15,sess-028fa929,Edge/126 Windows,app-02,staging,trace-ca349a7773894a98,,,,No immediate action required. Continue normal monitoring.,"GET /learning-paths 200 in 107ms (next.js: 49ms, application-code: 82ms)"
61,LOG-8AA045B0DBAB,2026-07-02T09:43:11+05:30,api,auth-service,request,info,safe,12,PATCH,/api/grad2it-aws/get-recordings-url,200,206,trainer,172.16.0.21,sess-54a8bbda,Chrome/126 Windows,db-01,development,trace-47d638b94d4c4233,,,,No immediate action required. Continue normal monitoring.,"PATCH /api/grad2it-aws/get-recordings-url 200 in 206ms (next.js: 47ms, application-code: 198ms)"
62,LOG-8487B08964A1,2026-07-02T09:44:14+05:30,web,auth-service,request,info,safe,21,GET,/learning-paths,200,778,trainer,10.0.0.5,sess-ff3dfe5e,curl/8.1,app-01,staging,trace-b73648dc17fc453f,,,,No immediate action required. Continue normal monitoring.,"GET /learning-paths 200 in 778ms (next.js: 12ms, application-code: 707ms)"
63,LOG-5EA793A3A4C0,2026-07-02T09:45:22+05:30,api,auth-service,request,info,safe,20,PATCH,/api/profile,201,852,keerthi,192.168.1.10,sess-ae828bd1,MobileChrome/126 Android,web-01,production,trace-4243199f438b49e7,,,,No immediate action required. Continue normal monitoring.,"PATCH /api/profile 201 in 852ms (next.js: 52ms, application-code: 809ms)"
64,LOG-BDE26A075FDC,2026-07-02T09:46:23+05:30,web,auth-service,request,info,safe,1,GET,/settings,200,223,manager,172.16.0.33,sess-10c01122,BotProbe/1.0,gateway-01,development,trace-0579454b2fb64a1e,,,,No immediate action required. Continue normal monitoring.,"GET /settings 200 in 223ms (next.js: 61ms, application-code: 206ms)"
65,LOG-10DB1181E838,2026-07-02T09:47:31+05:30,web,nextjs-app,request,info,safe,11,GET,/billing,200,825,trainer,172.16.0.33,sess-157a51d6,Edge/126 Windows,worker-01,development,trace-e4f64ac8a07340e1,,,,No immediate action required. Continue normal monitoring.,"GET /billing 200 in 825ms (next.js: 76ms, application-code: 712ms)"
66,LOG-16664C2186DA,2026-07-02T09:48:07+05:30,web,nextjs-app,request,info,safe,5,GET,/login,200,326,student02,172.16.0.21,sess-50f0b97a,Safari/17 macOS,gateway-01,staging,trace-a1c297a1aa2d48b8,,,,No immediate action required. Continue normal monitoring.,"GET /login 200 in 326ms (next.js: 35ms, application-code: 233ms)"
67,LOG-D2CDDACF6301,2026-07-02T09:49:23+05:30,web,api-gateway,request,info,safe,6,GET,/profile,200,817,trainer,192.168.1.10,sess-6d65e03e,Safari/17 macOS,web-01,staging,trace-8cc6c413240a4201,,,,No immediate action required. Continue normal monitoring.,"GET /profile 200 in 817ms (next.js: 89ms, application-code: 748ms)"
68,LOG-D0E33EDC034D,2026-07-02T09:50:21+05:30,api,auth-service,request,info,safe,18,PUT,/api/grad2it-aws/community-members,200,270,support,192.168.1.11,sess-f3bffe06,BotProbe/1.0,web-01,staging,trace-0526249e2d7946d4,,,,No immediate action required. Continue normal monitoring.,"PUT /api/grad2it-aws/community-members 200 in 270ms (next.js: 23ms, application-code: 168ms)"
69,LOG-990C64545ED0,2026-07-02T09:50:55+05:30,web,nextjs-app,request,info,safe,22,GET,/billing,200,587,devops,192.168.1.11,sess-28424989,MobileChrome/126 Android,db-01,staging,trace-e7c99ad349ce4e28,,,,No immediate action required. Continue normal monitoring.,"GET /billing 200 in 587ms (next.js: 73ms, application-code: 488ms)"
70,LOG-927E9A09F9EB,2026-07-02T09:51:31+05:30,web,auth-service,request,info,safe,18,GET,/dashboard,200,412,api_bot,10.0.0.8,sess-646e33a2,curl/8.1,api-01,development,trace-edc333ccc498478c,,,,No immediate action required. Continue normal monitoring.,"GET /dashboard 200 in 412ms (next.js: 84ms, application-code: 324ms)"
71,LOG-3C911D4226BD,2026-07-02T09:52:49+05:30,web,api-gateway,request,info,safe,22,GET,/profile,200,497,api_bot,192.168.1.11,sess-99ff7969,PostmanRuntime/7.37,app-01,staging,trace-3aa72fd6d176400f,,,,No immediate action required. Continue normal monitoring.,"GET /profile 200 in 497ms (next.js: 28ms, application-code: 486ms)"
72,LOG-2EBDEA27B374,2026-07-02T09:53:33+05:30,web,api-gateway,request,info,safe,5,GET,/settings,200,133,admin,172.16.0.33,sess-b8f6b89d,Safari/17 macOS,web-01,production,trace-338f118c4091468e,,,,No immediate action required. Continue normal monitoring.,"GET /settings 200 in 133ms (next.js: 23ms, application-code: 36ms)"
73,LOG-76A29D3E0D28,2026-07-02T09:53:59+05:30,web,nextjs-app,request,info,safe,14,GET,/login,200,179,keerthi,10.0.0.8,sess-93370a11,Chrome/126 Windows,api-01,development,trace-ff19daacfc1d4166,,,,No immediate action required. Continue normal monitoring.,"GET /login 200 in 179ms (next.js: 36ms, application-code: 110ms)"
74,LOG-E7B679832181,2026-07-02T09:54:21+05:30,api,api-gateway,request,info,safe,4,DELETE,/api/payment,200,700,analyst,192.168.1.11,sess-47d8a140,Safari/17 macOS,gateway-01,development,trace-c1b6ad64408842cc,,,,No immediate action required. Continue normal monitoring.,"DELETE /api/payment 200 in 700ms (next.js: 60ms, application-code: 697ms)"
75,LOG-518EB4A47864,2026-07-02T09:54:28+05:30,web,auth-service,request,info,safe,23,GET,/courses,200,760,trainer,192.168.1.10,sess-328da313,Firefox/124 Windows,app-01,staging,trace-e8ccd281894948e9,,,,No immediate action required. Continue normal monitoring.,"GET /courses 200 in 760ms (next.js: 71ms, application-code: 671ms)"
76,LOG-1069C3222FD5,2026-07-02T09:55:43+05:30,api,nextjs-app,request,info,safe,1,PUT,/api/upload,304,672,john,192.168.1.12,sess-1c5a0453,BotProbe/1.0,worker-01,production,trace-2adfbfea52904e86,,,,No immediate action required. Continue normal monitoring.,"PUT /api/upload 304 in 672ms (next.js: 76ms, application-code: 642ms)"
77,LOG-9CF663E71C77,2026-07-02T09:56:30+05:30,api,api-gateway,request,info,safe,8,POST,/api/settings,301,202,student02,172.16.0.33,sess-1de6329e,Firefox/124 Windows,db-01,production,trace-e8454f54023a4bf6,,,,No immediate action required. Continue normal monitoring.,"POST /api/settings 301 in 202ms (next.js: 119ms, application-code: 188ms)"
78,LOG-089CD1D851C5,2026-07-02T09:57:23+05:30,web,nextjs-app,request,info,safe,20,GET,/learning-paths,200,367,keerthi,192.168.2.15,sess-a303380d,Firefox/124 Windows,gateway-01,production,trace-0fc2b64c18944c84,,,,No immediate action required. Continue normal monitoring.,"GET /learning-paths 200 in 367ms (next.js: 100ms, application-code: 312ms)"
